n,t
100,0.000294
200,0.000837
300,0.001773
400,0.003505
500,0.005073
600,0.007021
700,0.008904
800,0.012537
900,0.014836
1000,0.019435
1100,0.023800
1200,0.027151
1300,0.018315
1400,0.013760
1500,0.013227
1600,0.012851
1700,0.015035
1800,0.016701
1900,0.018834
2000,0.020617
2100,0.023599
2200,0.025322
2300,0.027841
2400,0.030337
2500,0.034042
2600,0.036712
2700,0.039885
2800,0.043324
2900,0.046344
3000,0.052076
3100,0.053747
3200,0.058385
3300,0.061760
3400,0.067275
3500,0.070051
3600,0.074273
3700,0.078911
3800,0.085407
3900,0.088528
4000,0.093169
4100,0.097142
4200,0.104741
4300,0.107537
4400,0.112269
4500,0.118645
4600,0.126432
4700,0.129094
4800,0.136094
4900,0.141915
5000,0.151524
5100,0.153384
5200,0.159678
5300,0.166759
5400,0.177411
5500,0.180180
5600,0.187847
5700,0.194718
5800,0.206021
5900,0.207038
6000,0.214801
6100,0.222386
6200,0.235774
6300,0.237470
6400,0.248481
6500,0.254448
6600,0.268040
6700,0.269546
6800,0.279147
6900,0.287438
7000,0.303792
7100,0.303864
7200,0.315333
7300,0.323999
7400,0.342250
7500,0.344122
7600,0.354087
7700,0.360890
7800,0.382612
7900,0.380630
8000,0.396727
8100,0.400226
8200,0.425354
8300,0.420567
8400,0.437078
8500,0.442451
8600,0.465311
8700,0.466448
8800,0.482823
8900,0.487987
9000,0.512933
9100,0.510565
9200,0.528412
9300,0.533965
9400,0.561648
9500,0.556037
9600,0.579017
9700,0.584430
9800,0.612351
9900,0.606775
10000,0.630832
10100,0.635133
10200,0.660684
10300,0.663973
10400,0.686178
10500,0.689451
10600,0.720787
10700,0.715333
10800,0.742532
10900,0.743574
11000,0.772889
11100,0.772792
11200,0.802693
11300,0.801748
11400,0.835643
11500,0.841629
11600,0.866173
11700,0.866678
11800,0.894013
11900,0.897831
12000,0.932699
12100,0.930046
12200,0.968222
12300,0.964120
12400,0.997770
12500,1.001615
12600,1.024552
12700,1.028690
12800,1.070767
12900,1.061325
13000,1.100251
13100,1.092943
13200,1.136573
13300,1.129254
13400,1.165140
13500,1.165203
13600,1.219378
13700,1.198601
13800,1.244709
13900,1.234810
14000,1.282421
14100,1.274436
14200,1.319931
14300,1.310478
14400,1.377587
14500,1.353342
14600,1.401068
14700,1.394541
14800,1.447117
14900,1.439087
15000,1.485780
15100,1.474513
15200,1.550989
15300,1.519622
15400,1.578618
15500,1.571275
15600,1.629486
15700,1.622036
15800,1.665514
15900,1.670977
16000,1.755543
16100,1.715678
16200,1.763047
16300,1.761403
16400,1.823920
16500,1.814333
16600,1.872315
16700,1.895041
16800,1.949395
16900,1.957048
17000,1.978740
17100,1.995380
17200,2.036240
17300,2.055173
17400,2.119019
17500,2.135406
17600,2.184775
17700,2.157511
17800,2.216826
17900,2.245521
18000,2.293240
18100,2.364748
18200,2.335206
18300,2.358766
18400,2.463252
18500,2.432527
18600,2.492339
18700,2.479409
18800,2.552441
18900,2.567496
19000,2.569136
19100,2.606369
19200,2.678261
19300,2.643776
19400,2.729420
19500,2.745127
19600,2.791461
19700,2.780663
19800,2.846857
19900,2.841842
20000,2.959172
